Year,Quarter,Month,Day,COUNTRY,CUSTOMER_ID,CUSTOMER_UNIQUE_KEY,Female %,Full Name,FIRST_NAME,GENDER,LAST_NAME,Male %,profit,Repeat Purchase Rate,Total Female Customers,Total Male Customers
1946,Qtr 4,October,30,United Kingdom,16509,AW00016509,100,Veronica Sai,Veronica,Female,Sai,,1302,100,1,
1946,Qtr 4,November,1,France,13511,AW00013511,,Ernest Liu,Ernest,Male,Liu,100,3908,100,,1
1946,Qtr 4,November,1,n/a,21357,AW00021357,100,Jada Nelson,Jada,Female,Nelson,,1151,100,1,
1946,Qtr 4,November,11,United States,26468,AW00026468,100,Alyssa Brown,Alyssa,Female,Brown,,17,100,1,
1946,Qtr 4,November,14,Australia,14347,AW00014347,100,Tara Goel,Tara,Female,Goel,,2352,100,1,
1946,Qtr 4,November,14,United States,16641,AW00016641,100,Julia Bailey,Julia,Female,Bailey,,2498,100,1,
1946,Qtr 4,November,21,United States,20396,AW00020396,,Jason Simmons,Jason,Male,Simmons,100,44,,,1
1946,Qtr 4,November,29,Australia,14346,AW00014346,100,Evelyn Perez,Evelyn,Female,Perez,,2536,100,1,
1946,Qtr 4,November,29,United States,20398,AW00020398,100,Jordan Collins,Jordan,Female,Collins,,21,100,1,
1946,Qtr 4,December,4,Germany,12236,AW00012236,100,Kendra Gill,Kendra,Female,Gill,,69,100,1,
1946,Qtr 4,December,4,Germany,29449,AW00029449,100,Laura Chen,Laura,Female,Chen,,1488,,1,
1946,Qtr 4,December,4,United States,22145,AW00022145,,Eduardo Kelly,Eduardo,Male,Kelly,100,23,100,,1
1946,Qtr 4,December,9,France,28475,AW00028475,,Bruce Ramos,Bruce,Male,Ramos,100,56,100,,1
1946,Qtr 4,December,9,United Kingdom,11353,AW00011353,100,Carrie Ortega,Carrie,Female,Ortega,,4772,100,1,
1946,Qtr 4,December,9,United States,19742,AW00019742,100,Alexia Russell,Alexia,Female,Russell,,72,100,1,
1946,Qtr 4,December,9,United States,25848,AW00025848,,Samuel Robinson,Samuel,Male,Robinson,100,17,100,,1
1946,Qtr 4,December,11,United States,15158,AW00015158,100,Victoria Moore,Victoria,Female,Moore,,72,100,1,
1946,Qtr 4,December,11,United States,15736,AW00015736,100,Sheena Raje,Sheena,Female,Raje,,95,100,1,
1946,Qtr 4,December,13,Canada,23074,AW00023074,100,Megan Flores,Megan,Female,Flores,,2406,100,1,
1946,Qtr 4,December,13,France,20964,AW00020964,100,Emily Butler,Emily,Female,Butler,,72,100,1,
1946,Qtr 4,December,16,United States,14240,AW00014240,100,Caroline Foster,Caroline,Female,Foster,,3237,100,1,
1946,Qtr 4,December,17,Canada,12710,AW00012710,,Dalton Evans,Dalton,Male,Evans,100,3444,100,,1
1946,Qtr 4,December,17,United Kingdom,23988,AW00023988,,Cesar Sánchez,Cesar,Male,Sánchez,100,1091,100,,1
1946,Qtr 4,December,17,United States,14239,AW00014239,100,Maria Peterson,Maria,Female,Peterson,,3166,100,1,
1946,Qtr 4,December,20,Australia,12035,AW00012035,,Gerald Prasad,Gerald,Male,Prasad,100,98,100,,1
1946,Qtr 4,December,23,Germany,25551,AW00025551,,Ross Torres,Ross,Male,Torres,100,89,100,,1
1947,Qtr 1,January,8,France,27854,AW00027854,,Marc Rubio,Marc,Male,Rubio,100,286,100,,1
1947,Qtr 1,January,8,United Kingdom,20147,AW00020147,100,Tabitha Ramos,Tabitha,Female,Ramos,,25,100,1,
1947,Qtr 1,January,12,Canada,22143,AW00022143,100,Summer Prasad,Summer,Female,Prasad,,72,100,1,
1947,Qtr 1,January,12,United States,18439,AW00018439,100,Angela Coleman,Angela,Female,Coleman,,618,,1,
1947,Qtr 1,January,16,Canada,16643,AW00016643,,Fernando Wilson,Fernando,Male,Wilson,100,127,100,,1
1947,Qtr 1,January,16,France,12561,AW00012561,100,Trisha Lin,Trisha,Female,Lin,,3794,100,1,
1947,Qtr 1,January,20,United Kingdom,24154,AW00024154,,Orlando Ramos,Orlando,Male,Ramos,100,31,100,,1
1947,Qtr 1,January,20,United States,15738,AW00015738,100,Abigail Miller,Abigail,Female,Miller,,104,100,1,
1947,Qtr 1,January,23,United Kingdom,15638,AW00015638,100,Rosa He,Rosa,Female,He,,2129,100,1,
1947,Qtr 1,January,23,United States,25849,AW00025849,100,Danielle Cooper,Danielle,Female,Cooper,,22,100,1,
1947,Qtr 1,January,31,Australia,24504,AW00024504,,Eddie Navarro,Eddie,Male,Navarro,100,1952,100,,1
1947,Qtr 1,January,31,Canada,18882,AW00018882,,Dalton Hayes,Dalton,Male,Hayes,100,2405,100,,1
1947,Qtr 1,January,31,Germany,25550,AW00025550,100,Krista Munoz,Krista,Female,Munoz,,265,100,1,
1947,Qtr 1,January,31,United States,19744,AW00019744,100,Tamara Cai,Tamara,Female,Cai,,1091,100,1,
1947,Qtr 1,February,7,Germany,20980,AW00020980,,Matthew Miller,Matthew,Male,Miller,100,1808,100,,1
1947,Qtr 1,February,7,United States,19743,AW00019743,100,Holly Rana,Holly,Female,Rana,,1110,100,1,
1947,Qtr 1,February,12,Australia,26190,AW00026190,,Arthur Suri,Arthur,Male,Suri,100,1787,100,,1
1947,Qtr 1,February,12,United States,15159,AW00015159,,Eric Washington,Eric,Male,Washington,100,4,100,,1
1947,Qtr 1,February,13,Australia,11148,AW00011148,,Ross Vazquez,Ross,Male,Vazquez,100,104,100,,1
1947,Qtr 1,February,16,Australia,17351,AW00017351,,Terrence Sharma,Terrence,Male,Sharma,100,3772,100,,1
1947,Qtr 1,February,16,n/a,21355,AW00021355,100,Mya Diaz,Mya,Female,Diaz,,1116,100,1,
1947,Qtr 1,February,19,United States,24640,AW00024640,100,Lisa Yang,Lisa,Female,Yang,,971,100,1,
1947,Qtr 1,February,19,United States,26467,AW00026467,100,Nicole Brooks,Nicole,Female,Brooks,,20,100,1,
1947,Qtr 1,February,22,United States,13652,AW00013652,100,Tamara Zeng,Tamara,Female,Zeng,,20,100,1,
1947,Qtr 1,February,22,United States,27392,AW00027392,100,Felicia Romero,Felicia,Female,Romero,,14,100,1,
1947,Qtr 1,March,3,United Kingdom,28477,AW00028477,,Kenneth Tang,Kenneth,Male,Tang,100,202,100,,1
1947,Qtr 1,March,8,Germany,13513,AW00013513,100,Abigail Henderson,Abigail,Female,Henderson,,3860,100,1,
1947,Qtr 1,March,8,United States,15155,AW00015155,100,Jamie Harrison,Jamie,Female,Harrison,,3163,100,1,
1947,Qtr 1,March,23,United States,20397,AW00020397,,Isaiah Gray,Isaiah,Male,Gray,100,49,100,,1
1947,Qtr 1,March,28,France,13512,AW00013512,100,Ken Sánchez,Ken,Female,Sánchez,,44,,1,
1947,Qtr 1,March,28,United States,12707,AW00012707,,Ian Lewis,Ian,Male,Lewis,100,3889,100,,1
1947,Qtr 1,March,28,United States,24950,AW00024950,100,Stephanie Alexander,Stephanie,Female,Alexander,,25,100,1,
1947,Qtr 2,April,2,United Kingdom,23987,AW00023987,100,Dawn Sharma,Dawn,Female,Sharma,,1045,100,1,
1947,Qtr 2,April,3,France,11340,AW00011340,100,Melody Munoz,Melody,Female,Munoz,,4285,100,1,
1947,Qtr 2,April,3,United States,15394,AW00015394,100,Natalie Wilson,Natalie,Female,Wilson,,3201,100,1,
1947,Qtr 2,April,3,United States,28007,AW00028007,,Clayton Ye,Clayton,Male,Ye,100,72,100,,1
1947,Qtr 2,April,13,Australia,13159,AW00013159,,Roberto Ramos,Roberto,Male,Ramos,100,156,100,,1
1947,Qtr 2,April,15,Canada,21354,AW00021354,100,Morgan Bailey,Morgan,Female,Bailey,,2171,100,1,
1947,Qtr 2,April,17,United States,13659,AW00013659,,Clayton Shan,Clayton,Male,Shan,100,89,100,,1
1947,Qtr 2,April,25,Australia,18334,AW00018334,,Edwin Ye,Edwin,Male,Ye,100,2435,100,,1
1947,Qtr 2,April,25,Germany,20979,AW00020979,100,Diane Jimenez,Diane,Female,Jimenez,,1846,100,1,
1947,Qtr 2,April,26,France,25549,AW00025549,100,Mallory Dominguez,Mallory,Female,Dominguez,,4,100,1,
1947,Qtr 2,April,26,United States,14241,AW00014241,100,Grace Wood,Grace,Female,Wood,,53,100,1,
1947,Qtr 2,April,27,United States,12364,AW00012364,100,Erin Rogers,Erin,Female,Rogers,,3811,100,1,
1947,Qtr 2,May,4,United States,18440,AW00018440,,Joe Ashe,Joe,Male,Ashe,100,700,100,,1
1947,Qtr 2,May,4,United States,26464,AW00026464,100,Alexandria Griffin,Alexandria,Female,Griffin,,85,100,1,
1947,Qtr 2,May,5,Canada,23679,AW00023679,,Jacob Harris,Jacob,Male,Harris,100,72,100,,1
1947,Qtr 2,May,6,Canada,24639,AW00024639,,Ian Moore,Ian,Male,Moore,100,72,100,,1
1947,Qtr 2,May,6,United States,26469,AW00026469,100,Joy Alvarez,Joy,Female,Alvarez,,88,100,1,
1947,Qtr 2,May,6,United States,28008,AW00028008,100,Jada Baker,Jada,Female,Baker,,4,100,1,
1947,Qtr 2,May,8,Canada,24637,AW00024637,,Nathan Flores,Nathan,Male,Flores,100,12,100,,1
1947,Qtr 2,May,8,United States,18847,AW00018847,100,Ariana Richardson,Ariana,Female,Richardson,,44,,1,
1947,Qtr 2,May,10,United States,24949,AW00024949,,Devin Howard,Devin,Male,Howard,100,21,,,1
1947,Qtr 2,May,10,United States,26718,AW00026718,,Richard Flores,Richard,Male,Flores,100,2826,100,,1
1947,Qtr 2,May,18,United States,13309,AW00013309,100,Angela Sanders,Angela,Female,Sanders,,14,,1,
1947,Qtr 2,May,18,United States,26470,AW00026470,,Marcus Cooper,Marcus,Male,Cooper,100,22,100,,1
1947,Qtr 2,May,28,France,24153,AW00024153,,Seth Jenkins,Seth,Male,Jenkins,100,923,100,,1
1947,Qtr 2,May,28,Germany,29448,AW00029448,100,Lindsey Yuan,Lindsey,Female,Yuan,,1488,,1,
1947,Qtr 2,June,6,n/a,21356,AW00021356,100,Gabriella Evans,Gabriella,Female,Evans,,1040,100,1,
1947,Qtr 2,June,10,France,12562,AW00012562,100,Kristina Chandra,Kristina,Female,Chandra,,87,100,1,
1947,Qtr 2,June,10,United States,28984,AW00028984,100,Katherine Cox,Katherine,Female,Cox,,19,100,1,
1947,Qtr 2,June,21,Germany,27855,AW00027855,100,Lisa Ye,Lisa,Female,Ye,,14,100,1,
1947,Qtr 2,June,21,United States,22140,AW00022140,100,Makayla Sanchez,Makayla,Female,Sanchez,,1028,100,1,
1947,Qtr 2,June,22,France,20810,AW00020810,100,Brittney He,Brittney,Female,He,,4,100,1,
1947,Qtr 2,June,22,United States,16644,AW00016644,,Leonard Goel,Leonard,Male,Goel,100,3,,,1
1947,Qtr 2,June,22,United States,28982,AW00028982,100,Sydney Watson,Sydney,Female,Watson,,17,100,1,
1947,Qtr 2,June,24,Canada,12363,AW00012363,100,Kayla Thompson,Kayla,Female,Thompson,,291,100,1,
1947,Qtr 2,June,24,Germany,20978,AW00020978,,Bruce Srini,Bruce,Male,Srini,100,3,,,1
1947,Qtr 3,July,4,United States,23684,AW00023684,100,Jasmine Rodriguez,Jasmine,Female,Rodriguez,,22,100,1,
1947,Qtr 3,July,9,Australia,18336,AW00018336,100,Carla Gonzalez,Carla,Female,Gonzalez,,3811,100,1,
1947,Qtr 3,July,9,United States,14249,AW00014249,,Eduardo Thomas,Eduardo,Male,Thomas,100,96,100,,1
1947,Qtr 3,July,9,United States,19835,AW00019835,100,Jordan Allen,Jordan,Female,Allen,,50,100,1,
1947,Qtr 3,July,19,United States,13339,AW00013339,100,Nicole Clark,Nicole,Female,Clark,,20,100,1,
1947,Qtr 3,July,20,United States,13188,AW00013188,,Anthony Davis,Anthony,Male,Davis,100,83,100,,1
1947,Qtr 3,July,20,United States,15160,AW00015160,100,Candace Van,Candace,Female,Van,,135,100,1,
1947,Qtr 3,August,3,United States,28985,AW00028985,,Andrew Taylor,Andrew,Male,Taylor,100,47,100,,1
1947,Qtr 3,August,9,United Kingdom,20982,AW00020982,,Arthur Jiménez,Arthur,Male,Jiménez,100,1379,100,,1
1947,Qtr 3,August,9,United States,13190,AW00013190,,Jonathan Diaz,Jonathan,Male,Diaz,100,4126,100,,1
1947,Qtr 3,August,11,Germany,13514,AW00013514,100,Lindsay Luo,Lindsay,Female,Luo,,3905,100,1,
1947,Qtr 3,August,11,United States,28010,AW00028010,,Justin Long,Justin,Male,Long,100,100,100,,1
1947,Qtr 3,August,14,United States,17549,AW00017549,,Jonathan Taylor,Jonathan,Male,Taylor,100,72,100,,1
1947,Qtr 3,August,14,United States,18531,AW00018531,,Thomas Simmons,Thomas,Male,Simmons,100,3,,,1
1947,Qtr 3,August,16,n/a,21315,AW00021315,100,Audrey Sanz,Audrey,Female,Sanz,,1071,100,1,
1947,Qtr 3,August,16,United Kingdom,13516,AW00013516,,Harold Ray,Harold,Male,Ray,100,27,100,,1
1947,Qtr 3,August,22,United States,13180,AW00013180,100,Leslie Sanz,Leslie,Female,Sanz,,186,100,1,
1947,Qtr 3,August,22,United States,19833,AW00019833,100,Michelle Kelly,Michelle,Female,Kelly,,44,,1,
1947,Qtr 3,August,22,United States,20484,AW00020484,100,Gabriella Morgan,Gabriella,Female,Morgan,,1048,100,1,
1947,Qtr 3,August,23,Australia,18768,AW00018768,,Dalton Garcia,Dalton,Male,Garcia,100,2094,100,,1
1947,Qtr 3,August,23,France,27857,AW00027857,100,Brandi Munoz,Brandi,Female,Munoz,,72,100,1,
1947,Qtr 3,August,23,Germany,11354,AW00011354,100,Deanna Suarez,Deanna,Female,Suarez,,18,100,1,
1947,Qtr 3,August,25,Australia,11151,AW00011151,100,Melinda Gill,Melinda,Female,Gill,,4781,100,1,
1947,Qtr 3,August,25,United States,21749,AW00021749,100,Ashley Williams,Ashley,Female,Williams,,1097,100,1,
1947,Qtr 3,August,27,Australia,14102,AW00014102,100,Lisa Huang,Lisa,Female,Huang,,2589,100,1,
1947,Qtr 3,August,27,United States,14247,AW00014247,,Hunter Allen,Hunter,Male,Allen,100,111,100,,1
1947,Qtr 3,August,30,Canada,13345,AW00013345,,Dalton Butler,Dalton,Male,Butler,100,3343,100,,1
1947,Qtr 3,August,30,United States,14248,AW00014248,100,Misty Tang,Misty,Female,Tang,,83,100,1,
1947,Qtr 3,August,30,United States,16877,AW00016877,100,Katelyn Adams,Katelyn,Female,Adams,,72,100,1,
1947,Qtr 3,September,1,Germany,17902,AW00017902,100,Ruth Lopez,Ruth,Female,Lopez,,1551,100,1,
1947,Qtr 3,September,1,United States,20487,AW00020487,,Alexander White,Alexander,Male,White,100,6,,,1
1947,Qtr 3,September,5,United States,26472,AW00026472,,David Hughes,David,Male,Hughes,100,142,100,,1
1947,Qtr 3,September,6,Canada,13660,AW00013660,,Ethan Davis,Ethan,Male,Davis,100,3372,100,,1
1947,Qtr 3,September,6,Germany,24155,AW00024155,100,Tracy Raje,Tracy,Female,Raje,,196,,1,
1947,Qtr 3,September,9,Germany,22398,AW00022398,100,Sheila Moreno,Sheila,Female,Moreno,,196,,1,
1947,Qtr 3,September,9,United States,17477,AW00017477,100,Miranda Griffin,Miranda,Female,Griffin,,618,,1,
1947,Qtr 3,September,12,Australia,19653,AW00019653,100,Tina Gonzalez,Tina,Female,Gonzalez,,2094,100,1,
1947,Qtr 3,September,12,United States,20488,AW00020488,100,Cassidy Foster,Cassidy,Female,Foster,,9,100,1,
1947,Qtr 3,September,16,United Kingdom,12569,AW00012569,100,Kristin Rai,Kristin,Female,Rai,,94,100,1,
1947,Qtr 3,September,19,United States,15744,AW00015744,100,Angela Gray,Angela,Female,Gray,,8,100,1,
1947,Qtr 4,October,5,United Kingdom,16512,AW00016512,,Ricardo Sharma,Ricardo,Male,Sharma,100,1327,100,,1
1947,Qtr 4,October,9,United States,15740,AW00015740,,Johnny Kumar,Johnny,Male,Kumar,100,72,100,,1
1947,Qtr 4,October,9,United States,20401,AW00020401,100,Hannah Jenkins,Hannah,Female,Jenkins,,1116,100,1,
1947,Qtr 4,October,11,Germany,15459,AW00015459,100,Beth Dominguez,Beth,Female,Dominguez,,22,100,1,
1947,Qtr 4,October,11,United States,18844,AW00018844,,Dalton Hernandez,Dalton,Male,Hernandez,100,56,100,,1
1947,Qtr 4,October,12,Germany,25702,AW00025702,100,Evelyn Lopez,Evelyn,Female,Lopez,,971,100,1,
1947,Qtr 4,October,17,United States,26473,AW00026473,100,Anna Wood,Anna,Female,Wood,,116,100,1,
1947,Qtr 4,October,30,United States,23683,AW00023683,100,Dana Alonso,Dana,Female,Alonso,,205,100,1,
1947,Qtr 4,October,31,United Kingdom,12566,AW00012566,,Omar Yang,Omar,Male,Yang,100,118,100,,1
1947,Qtr 4,October,31,United States,13340,AW00013340,100,Natalie Edwards,Natalie,Female,Edwards,,4143,100,1,
1947,Qtr 4,November,7,Australia,17352,AW00017352,,Drew Goel,Drew,Male,Goel,100,3651,100,,1
1947,Qtr 4,November,7,n/a,21443,AW00021443,100,Zoe Morgan,Zoe,Female,Morgan,,78,100,1,
1947,Qtr 4,November,7,United Kingdom,13517,AW00013517,,Nicolas Sharma,Nicolas,Male,Sharma,100,4782,100,,1
1947,Qtr 4,November,7,United States,13462,AW00013462,,Jay Sara,Jay,Male,Sara,100,4211,100,,1
1947,Qtr 4,November,7,United States,18532,AW00018532,,Marcus Russell,Marcus,Male,Russell,100,2409,100,,1
1947,Qtr 4,November,10,United Kingdom,15461,AW00015461,,Alberto Gutierrez,Alberto,Male,Gutierrez,100,106,100,,1
1947,Qtr 4,November,17,Australia,16743,AW00016743,100,Ariana Stewart,Ariana,Female,Stewart,,3729,100,1,
1947,Qtr 4,November,17,Australia,23573,AW00023573,,Jorge Gao,Jorge,Male,Gao,100,2819,100,,1
1947,Qtr 4,November,29,United Kingdom,12239,AW00012239,,Alberto Ramos,Alberto,Male,Ramos,100,5401,100,,1
1947,Qtr 4,November,30,United States,14242,AW00014242,,Rafael Ye,Rafael,Male,Ye,100,3215,100,,1
1947,Qtr 4,December,8,Germany,24156,AW00024156,,Wesley Zhou,Wesley,Male,Zhou,100,4,100,,1
1947,Qtr 4,December,13,Australia,16744,AW00016744,100,Lacey Guo,Lacey,Female,Guo,,3729,100,1,
1947,Qtr 4,December,13,Canada,12056,AW00012056,,Ian Ward,Ian,Male,Ward,100,278,100,,1
1947,Qtr 4,December,14,United Kingdom,12568,AW00012568,100,Stacey Ye,Stacey,Female,Ye,,58,100,1,
1947,Qtr 4,December,14,United States,20399,AW00020399,,Benjamin Rodriguez,Benjamin,Male,Rodriguez,100,1116,100,,1
1947,Qtr 4,December,15,Australia,22033,AW00022033,,Marshall Zhao,Marshall,Male,Zhao,100,2409,100,,1
1947,Qtr 4,December,15,United States,13342,AW00013342,,Brandon Jackson,Brandon,Male,Jackson,100,20,100,,1
1947,Qtr 4,December,17,Canada,13179,AW00013179,,Adrian Sanchez,Adrian,Male,Sanchez,100,165,100,,1
1947,Qtr 4,December,18,France,20148,AW00020148,,Terry Nath,Terry,Male,Nath,100,4,100,,1
1947,Qtr 4,December,18,United Kingdom,16511,AW00016511,,Joe Raman,Joe,Male,Raman,100,76,100,,1
1947,Qtr 4,December,24,Germany,20981,AW00020981,,Craig Romero,Craig,Male,Romero,100,43,100,,1
1947,Qtr 4,December,24,United States,16648,AW00016648,100,Rachel Coleman,Rachel,Female,Coleman,,4,100,1,
1947,Qtr 4,December,31,France,12565,AW00012565,100,Kendra Gutierrez,Kendra,Female,Gutierrez,,49,100,1,
1948,Qtr 1,January,1,Germany,13515,AW00013515,100,Cara Liang,Cara,Female,Liang,,3879,100,1,
1948,Qtr 1,January,1,United States,11177,AW00011177,,Jose Flores,Jose,Male,Flores,100,110,100,,1
1948,Qtr 1,January,3,United States,15163,AW00015163,100,Victoria Murphy,Victoria,Female,Murphy,,4,100,1,
1948,Qtr 1,January,7,United States,12366,AW00012366,100,Stephanie Cox,Stephanie,Female,Cox,,103,100,1,
1948,Qtr 1,January,9,Australia,29346,AW00029346,100,Briana Ortega,Briana,Female,Ortega,,213,100,1,
1948,Qtr 1,January,9,United States,18969,AW00018969,100,Anna Cox,Anna,Female,Cox,,44,,1,
1948,Qtr 1,January,15,United Kingdom,20811,AW00020811,,Calvin Shan,Calvin,Male,Shan,100,3062,100,,1
1948,Qtr 1,January,18,United Kingdom,25703,AW00025703,100,Summer Rana,Summer,Female,Rana,,217,100,1,
1948,Qtr 1,January,18,United States,13183,AW00013183,,Christian Jenkins,Christian,Male,Jenkins,100,101,100,,1
1948,Qtr 1,January,22,United States,18967,AW00018967,,Xavier Clark,Xavier,Male,Clark,100,65,100,,1
1948,Qtr 1,January,31,Canada,20380,AW00020380,100,Catherine Reed,Catherine,Female,Reed,,4,100,1,
1948,Qtr 1,January,31,Canada,24621,AW00024621,,Chad Shan,Chad,Male,Shan,100,8,100,,1
1948,Qtr 1,January,31,United States,14250,AW00014250,,Adam Collins,Adam,Male,Collins,100,20,100,,1
1948,Qtr 1,February,2,Canada,17551,AW00017551,100,Victoria Torres,Victoria,Female,Torres,,174,100,1,
1948,Qtr 1,February,2,Canada,19836,AW00019836,,Kevin Jai,Kevin,Male,Jai,100,97,100,,1
1948,Qtr 1,February,2,France,22397,AW00022397,100,Marie Patel,Marie,Female,Patel,,17,100,1,
1948,Qtr 1,February,2,United States,19834,AW00019834,,Johnny Sharma,Johnny,Male,Sharma,100,98,100,,1
1948,Qtr 1,February,3,France,17900,AW00017900,100,Victoria Snowden,Victoria,Female,Snowden,,1460,100,1,
1948,Qtr 1,February,12,United States,15745,AW00015745,,Julian Hayes,Julian,Male,Hayes,100,126,100,,1
1948,Qtr 1,February,13,United States,15161,AW00015161,100,Trinity James,Trinity,Female,James,,4,100,1,
1948,Qtr 1,February,14,United Kingdom,23985,AW00023985,100,Janet Torres,Janet,Female,Torres,,72,100,1,
1948,Qtr 1,February,14,United States,13187,AW00013187,,Evan Wright,Evan,Male,Wright,100,19,100,,1
1948,Qtr 1,February,19,United States,14251,AW00014251,,Alex Brooks,Alex,Male,Brooks,100,68,100,,1
1948,Qtr 1,March,9,United States,20486,AW00020486,,Jack Butler,Jack,Male,Butler,100,78,100,,1
1948,Qtr 1,March,10,Australia,14101,AW00014101,,Franklin Lal,Franklin,Male,Lal,100,2638,100,,1
1948,Qtr 1,March,10,United States,13344,AW00013344,100,Caitlin Reed,Caitlin,Female,Reed,,77,100,1,
1948,Qtr 1,March,11,Australia,22032,AW00022032,,Ivan Fernandez,Ivan,Male,Fernandez,100,2340,100,,1
1948,Qtr 1,March,11,Australia,29331,AW00029331,,Melvin Yuan,Melvin,Male,Yuan,100,78,100,,1
1948,Qtr 1,March,14,United States,13341,AW00013341,,Lucas King,Lucas,Male,King,100,89,100,,1
1948,Qtr 1,March,20,United States,20400,AW00020400,100,Sydney Henderson,Sydney,Female,Henderson,,1028,100,1,
1948,Qtr 1,March,21,United States,27394,AW00027394,,Kyle Alexander,Kyle,Male,Alexander,100,22,100,,1
1948,Qtr 2,April,1,Canada,15162,AW00015162,100,Kaitlyn Barnes,Kaitlyn,Female,Barnes,,144,100,1,
1948,Qtr 2,April,1,United Kingdom,20149,AW00020149,100,Heidi Arun,Heidi,Female,Arun,,2834,100,1,
1948,Qtr 2,April,3,Australia,15267,AW00015267,100,Kendra Alvarez,Kendra,Female,Alvarez,,2304,100,1,
1948,Qtr 2,April,9,United States,15741,AW00015741,100,Isabella Allen,Isabella,Female,Allen,,126,100,1,
1948,Qtr 2,April,16,United States,16645,AW00016645,100,Chelsea Subram,Chelsea,Female,Subram,,2427,100,1,
1948,Qtr 2,April,16,United States,16647,AW00016647,100,Anna Alexander,Anna,Female,Alexander,,57,100,1,
1948,Qtr 2,April,16,United States,18966,AW00018966,100,Carly Rai,Carly,Female,Rai,,53,100,1,
1948,Qtr 2,April,16,United States,19838,AW00019838,,Jared Ramirez,Jared,Male,Ramirez,100,333,100,,1
1948,Qtr 2,April,23,Canada,16646,AW00016646,,Xavier Collins,Xavier,Male,Collins,100,253,100,,1
1948,Qtr 2,April,23,United States,11319,AW00011319,100,Jade Bailey,Jade,Female,Bailey,,3868,100,1,
1948,Qtr 2,May,1,Germany,27858,AW00027858,100,Anders Skjønaa,Anders,Female,Skjønaa,,70,100,1,
1948,Qtr 2,May,1,United States,14245,AW00014245,100,Ana Russell,Ana,Female,Russell,,83,100,1,
1948,Qtr 2,May,6,France,29450,AW00029450,,Bradley Chande,Bradley,Male,Chande,100,1886,100,,1
1948,Qtr 2,May,6,Germany,17722,AW00017722,,Jerome Serrano,Jerome,Male,Serrano,100,2340,100,,1
1948,Qtr 2,May,6,United Kingdom,19263,AW00019263,100,Nina Chande,Nina,Female,Chande,,1059,100,1,
1948,Qtr 2,May,6,United States,15742,AW00015742,100,Grace Thompson,Grace,Female,Thompson,,72,100,1,
1948,Qtr 2,May,9,Australia,29344,AW00029344,,Gilbert Ye,Gilbert,Male,Ye,100,202,100,,1
1948,Qtr 2,May,9,United States,21751,AW00021751,,Logan Jackson,Logan,Male,Jackson,100,78,100,,1
1948,Qtr 2,May,13,France,14555,AW00014555,100,Jodi Kumar,Jodi,Female,Kumar,,2162,100,1,
1948,Qtr 2,May,15,Australia,14348,AW00014348,,Alex Scott,Alex,Male,Scott,100,2339,100,,1
1948,Qtr 2,May,15,Australia,19652,AW00019652,,Douglas Rodriguez,Douglas,Male,Rodriguez,100,2094,100,,1
1948,Qtr 2,May,21,United Kingdom,26915,AW00026915,,Peter Kumar,Peter,Male,Kumar,100,37,100,,1
1948,Qtr 2,May,21,United States,21753,AW00021753,100,Morgan Robinson,Morgan,Female,Robinson,,49,100,1,
1948,Qtr 2,May,21,United States,24933,AW00024933,100,Regina Sanchez,Regina,Female,Sanchez,,21,,1,
1948,Qtr 2,May,23,Australia,16745,AW00016745,100,Krista Moreno,Krista,Female,Moreno,,3651,100,1,
1948,Qtr 2,May,23,United States,13186,AW00013186,,Marcus Sanders,Marcus,Male,Sanders,100,14,,,1
1948,Qtr 2,May,26,United Kingdom,19262,AW00019262,100,Kari Sanchez,Kari,Female,Sanchez,,16,,1,
1948,Qtr 2,June,3,France,16510,AW00016510,,Brad Nara,Brad,Male,Nara,100,17,100,,1
1948,Qtr 2,June,3,United States,22723,AW00022723,,Alexander Anderson,Alexander,Male,Anderson,100,91,100,,1
1948,Qtr 2,June,10,Canada,27393,AW00027393,100,Sierra Hernandez,Sierra,Female,Hernandez,,56,100,1,
1948,Qtr 2,June,14,Australia,27744,AW00027744,,Gilbert Pal,Gilbert,Male,Pal,100,252,100,,1
1948,Qtr 2,June,14,United States,15739,AW00015739,,Garrett Rogers,Garrett,Male,Rogers,100,3167,100,,1
1948,Qtr 2,June,17,United States,19747,AW00019747,,Louis Rai,Louis,Male,Rai,100,84,100,,1
1948,Qtr 2,June,18,United Kingdom,20150,AW00020150,,Gary Rubio,Gary,Male,Rubio,100,2963,100,,1
1948,Qtr 2,June,18,United States,18530,AW00018530,,Wyatt Evans,Wyatt,Male,Evans,100,49,100,,1
1948,Qtr 2,June,21,n/a,21444,AW00021444,,Blake Lopez,Blake,Male,Lopez,100,14,100,,1
1948,Qtr 2,June,21,United States,13181,AW00013181,,Brian Morgan,Brian,Male,Morgan,100,167,100,,1
1948,Qtr 2,June,23,Germany,27859,AW00027859,,Danny Carlson,Danny,Male,Carlson,100,350,100,,1
1948,Qtr 2,June,26,Canada,13185,AW00013185,,William Lee,William,Male,Lee,100,93,100,,1
1948,Qtr 2,June,26,United Kingdom,11355,AW00011355,,Roberto Gutierrez,Roberto,Male,Gutierrez,100,9,100,,1
1948,Qtr 3,July,1,United States,11180,AW00011180,100,April Anand,April,Female,Anand,,194,100,1,
1948,Qtr 3,July,1,United States,13347,AW00013347,100,Rachel Hall,Rachel,Female,Hall,,68,100,1,
